1,1848,1,"Wood, S. V.","The Crag Mollusca. Part I, Univalves",,"pp i-xii, 1-208, pls 1-21, title page","Gastropods",45.9,45,40,,,,"yes",1
2,1849,2,"Owen, R. & Bell, T.","The Reptilia of the London Clay. Volume 1, part 1 Chelonia &c",,"pp 1-76, pls 1-28, 8A, 10A, 16A, 18A, 19*, 19B, 19C, 19D","reptiles",30.9,30,25,,,,"yes",3
9,1851,4,"Morris & Lycett","The Mollusca of the Great Oolite, Part I, Univalves",,"pp i-viii, 1-130, pls 1-15","Gastropods",18.4,18,16,,,,"yes",2
10,1851,4,"Davidson, ","The Fossil Brachiopoda, Volume I, Part 3,  part 1, Oolitic and Liassic",,"pp 1-64, pls 1-13","Brachiopods",10.9,11,10,,,,"yes",2
11,1851,5,"Owen, R.","The Reptilia of the Cretaceous Formations",,"pp 1-118, pls 1-37, 7A, 9A","reptiles",20,20,16,,,,"yes",3
14,1852,6,"Edwards, M. & Haime, J.","The fossil corals. Part 3, Permian and Mountain Limestone",,"pp 147-210, pls 31-46","Corals",11.7,12,10,,,,"yes",3
15,1852,6,"Davidson, ","The Fossil Brachiopoda, Volume I, Part 1,  Tertiary",,"pp 1-23, pls 1, 2","Brachiopods",4.2,4,3,,,,"yes",2
16,1852,6,"Davidson, ","The Fossil Brachiopoda, Volume I, Part 2,  number 1, Cretaceous",,"pp 1-54, pls 1-5","Brachiopods",8.4,8,7,,,,"yes",2
17,1852,6,"Davidson, ","The Fossil Brachiopoda, Volume I, Part 3,  number 2, Oolitic",,"pp 65-100, pls 14-18","Brachiopods",8.4,8,7,,,,"yes",2
18,1852,6,"Edwards, F. E.","The Eocene Mollusca, part 2, Pulmonata",,"pp 57-122, pls 10-15","Gastropods",11.7,12,10,,,,"yes",2
23,1853,7,"Morris & Lycett","The Mollusca of the Great Oolite, Part 2, Bivalves",,"pp 1-80, pls 1-8","Bivalves",11.7,12,10,,,,"yes",3
24,1853,7,"Wood, S. V.","The Mollusca of the Crag, Part 2, number 2. Bivalves",,"pp 151-216, pls 13-20","Bivalves",10,10,8,,,,"yes",1
25,1853,7,"Owen, R.","The Reptilia of the Wealden Formations, Part 1. Chelonia",,"pp 1-12, pls 1-9","reptiles",4.2,4,3,,,,"yes",4
26,1855,8,"Davidson, ","The Fossil Brachiopoda, Volume I, Part 2,  number 2, Cretaceous",,"pp 55-117, pls 6-12, with appendix and index to volume 1 (pp 1-30, pl. A)","Brachiopods",8.4,8,7,,,,"yes",3
27,1855,8,"Owen, R.","The Reptilia of the Wealden Formations, Part 2. Dinosauria",,"pp 1-54, pls 1-19, 16A","Dinosaurs",8.4,8,7,,,,"yes",2
29,1855,8,"Edwards, M. & Haime, J.","The fossil corals, Part 5. Silurian",,"pp 245-322, pls 57-72","Corals",11.7,12,10,,,,"yes",2
31,1855,8,"Sharpe, D.","The Mollusca of the Chalk, Part 2. Cephalopoda",,"pp 27-36, pls 11-16","Cephalopods",4.2,4,3,,,,"yes",5
32,1855,8,"Edwards, F. E.","The Eocene Mollusca, part 3(1). Prosobranchiata",,"pp 123-180, pls 16-23","Gastropods",8.4,8,7,,,,"yes",1
33,1857,9,"Wood, S. V.","The Mollusca of the Crag, Part 2, number 3. Bivalves",,"pp 217-342, pls 21-31","Bivalves",11.7,12,10,,,,,1
34,1857,9,"Owen, R.","The Reptilia of the Wealden Formations, Part 3",,"pp 1-26, pls 1-12","reptiles",5,5,4,,,,,3
37,1857,9,"Jones, T. R.","The Tertiary Entomostraca",,"pp i-xii, 1-68, pls 1-6","Arthropods",8.4,8,7,,,,,4
39,1858,10,"Wright, T.","The fossil Echinodermata, Oolitic, Volume 1",2,"pp 155-303, pls 11-22","Echinoderms",20,20,16,,,,"yes",2
40,1858,10,"Bell, ","The fossil Crustacea, Part 1. London Clay",,"pp i-viii, 1-44, pls 1-11","Crustaceans",6.7,7,6,,,,"yes",4
41,1858,10,"Davidson, ","The Fossil Brachiopoda, Volume 2 Part 4,  Permian",,"pp 1-51, pls 1-4","Brachiopods",6.7,7,6,,,,"yes",3
